Model,DPO2014B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,1e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
-4.39488e-02,2.68221e-09,-0.04
-4.39456e-02,2.68221e-09,0.04
-4.39424e-02,2.68221e-09,-0.04
-4.39392e-02,2.68221e-09,0.04
-4.39360e-02,2.68221e-09,-0.04
-4.39328e-02,2.68221e-09,0.04
-4.39296e-02,2.68221e-09,-0.08
-4.39264e-02,2.68221e-09,0.04
-4.39232e-02,2.68221e-09,-0.04
-4.39200e-02,2.68221e-09,0.04
-4.39168e-02,2.68221e-09,-0.04
-4.39136e-02,2.68221e-09,0.04
-4.39104e-02,2.68221e-09,-0.04
-4.39072e-02,2.68221e-09,0.04
-4.39040e-02,2.68221e-09,-0.04
-4.39008e-02,2.68221e-09,0.04
-4.38976e-02,2.68221e-09,-0.04
-4.38944e-02,2.68221e-09,0.04
-4.38912e-02,2.68221e-09,-0.04
-4.38880e-02,2.68221e-09,0.04
-4.38848e-02,2.68221e-09,-0.04
-4.38816e-02,2.68221e-09,0.04
-4.38784e-02,2.68221e-09,-0.04
-4.38752e-02,2.68221e-09,0.04
-4.38720e-02,2.68221e-09,-0.04
-4.38688e-02,0.04,0.04
-4.38656e-02,2.68221e-09,-0.04
-4.38624e-02,2.68221e-09,0.04
-4.38592e-02,2.68221e-09,-0.04
-4.38560e-02,2.68221e-09,0.04
-4.38528e-02,2.68221e-09,-0.04
-4.38496e-02,2.68221e-09,0.04
-4.38464e-02,2.68221e-09,-0.04
-4.38432e-02,2.68221e-09,0.04
-4.38400e-02,2.68221e-09,-0.04
-4.38368e-02,2.68221e-09,0.04
-4.38336e-02,2.68221e-09,-0.04
-4.38304e-02,2.68221e-09,0.04
-4.38272e-02,2.68221e-09,-0.04
-4.38240e-02,2.68221e-09,0.04
-4.38208e-02,2.68221e-09,-0.04
-4.38176e-02,2.68221e-09,0.04
-4.38144e-02,2.68221e-09,-0.04
-4.38112e-02,2.68221e-09,0.04
-4.38080e-02,2.68221e-09,-0.04
-4.38048e-02,2.68221e-09,0.04
-4.38016e-02,2.68221e-09,-0.04
-4.37984e-02,2.68221e-09,0.04
-4.37952e-02,2.68221e-09,-0.04
-4.37920e-02,2.68221e-09,0.04
-4.37888e-02,2.68221e-09,-0.04
-4.37856e-02,2.68221e-09,0.04
-4.37824e-02,2.68221e-09,-0.04
-4.37792e-02,2.68221e-09,0.04
-4.37760e-02,2.68221e-09,-0.04
-4.37728e-02,2.68221e-09,0.04
-4.37696e-02,2.68221e-09,-0.04
-4.37664e-02,2.68221e-09,0.04
-4.37632e-02,2.68221e-09,-0.08
-4.37600e-02,0.04,0.04
-4.37568e-02,2.68221e-09,-0.04
-4.37536e-02,2.68221e-09,0.04
-4.37504e-02,2.68221e-09,-0.04
-4.37472e-02,2.68221e-09,0.04
-4.37440e-02,2.68221e-09,-0.04
-4.37408e-02,2.68221e-09,0.04
-4.37376e-02,2.68221e-09,-0.04
-4.37344e-02,2.68221e-09,0.04
-4.37312e-02,2.68221e-09,-0.04
-4.37280e-02,2.68221e-09,0.04
-4.37248e-02,2.68221e-09,-0.04
-4.37216e-02,2.68221e-09,0.04
-4.37184e-02,2.68221e-09,-0.04
-4.37152e-02,2.68221e-09,0.04
-4.37120e-02,2.68221e-09,-0.04
-4.37088e-02,2.68221e-09,0.04
-4.37056e-02,2.68221e-09,-0.04
-4.37024e-02,2.68221e-09,0.04
-4.36992e-02,2.68221e-09,-0.04
-4.36960e-02,2.68221e-09,0.04
-4.36928e-02,2.68221e-09,-0.04
-4.36896e-02,2.68221e-09,0.04
-4.36864e-02,2.68221e-09,-0.04
-4.36832e-02,2.68221e-09,0.04
-4.36800e-02,2.68221e-09,-0.04
-4.36768e-02,2.68221e-09,0.04
-4.36736e-02,2.68221e-09,-0.04
-4.36704e-02,2.68221e-09,0.04
-4.36672e-02,2.68221e-09,-0.04
-4.36640e-02,2.68221e-09,0.04
-4.36608e-02,2.68221e-09,-0.04
-4.36576e-02,2.68221e-09,0.04
-4.36544e-02,2.68221e-09,-0.04
-4.36512e-02,2.68221e-09,0.04
-4.36480e-02,0.04,-0.04
-4.36448e-02,2.68221e-09,0.04
-4.36416e-02,2.68221e-09,-0.08
-4.36384e-02,2.68221e-09,0.04
-4.36352e-02,2.68221e-09,-0.04
-4.36320e-02,2.68221e-09,0.04
-4.36288e-02,2.68221e-09,-0.04
-4.36256e-02,2.68221e-09,0.04
-4.36224e-02,0.04,-0.04
-4.36192e-02,2.68221e-09,0.04
-4.36160e-02,2.68221e-09,-0.04
-4.36128e-02,2.68221e-09,0.04
-4.36096e-02,2.68221e-09,-0.04
-4.36064e-02,0.04,0.04
-4.36032e-02,2.68221e-09,-0.04
-4.36000e-02,2.68221e-09,0.04
-4.35968e-02,2.68221e-09,-0.04
-4.35936e-02,2.68221e-09,0.04
-4.35904e-02,2.68221e-09,-0.04
-4.35872e-02,2.68221e-09,0.04
-4.35840e-02,2.68221e-09,-0.04
-4.35808e-02,2.68221e-09,0.04
-4.35776e-02,2.68221e-09,-0.04
-4.35744e-02,2.68221e-09,0.04
-4.35712e-02,2.68221e-09,-0.04
-4.35680e-02,2.68221e-09,0.04
-4.35648e-02,2.68221e-09,-0.04
-4.35616e-02,2.68221e-09,0.04
-4.35584e-02,2.68221e-09,-0.04
-4.35552e-02,2.68221e-09,0.04
-4.35520e-02,2.68221e-09,-0.04
-4.35488e-02,2.68221e-09,0.04
-4.35456e-02,2.68221e-09,-0.04
-4.35424e-02,0.04,0.04
-4.35392e-02,0.04,-0.04
-4.35360e-02,0.04,0.04
-4.35328e-02,2.68221e-09,-0.04
-4.35296e-02,2.68221e-09,0.04
-4.35264e-02,0.04,-0.08
-4.35232e-02,2.68221e-09,0.04
-4.35200e-02,0.04,-0.04
-4.35168e-02,2.68221e-09,0.04
-4.35136e-02,2.68221e-09,-0.04
-4.35104e-02,2.68221e-09,0.04
-4.35072e-02,2.68221e-09,-0.04
-4.35040e-02,2.68221e-09,0.04
-4.35008e-02,2.68221e-09,-0.04
-4.34976e-02,2.68221e-09,0.04
-4.34944e-02,2.68221e-09,-0.04
-4.34912e-02,2.68221e-09,0.04
-4.34880e-02,2.68221e-09,-0.04
-4.34848e-02,2.68221e-09,0.04
-4.34816e-02,2.68221e-09,-0.04
-4.34784e-02,2.68221e-09,0.04
-4.34752e-02,2.68221e-09,-0.04
-4.34720e-02,2.68221e-09,0.04
-4.34688e-02,2.68221e-09,-0.04
-4.34656e-02,2.68221e-09,0.04
-4.34624e-02,2.68221e-09,-0.04
-4.34592e-02,0.04,0.04
-4.34560e-02,2.68221e-09,-0.04
-4.34528e-02,2.68221e-09,0.04
-4.34496e-02,2.68221e-09,-0.04
-4.34464e-02,0.04,0.04
-4.34432e-02,2.68221e-09,-0.04
-4.34400e-02,2.68221e-09,0.04
-4.34368e-02,2.68221e-09,-0.04
-4.34336e-02,2.68221e-09,0.04
-4.34304e-02,2.68221e-09,-0.04
-4.34272e-02,2.68221e-09,0.04
-4.34240e-02,0.04,-0.04
-4.34208e-02,2.68221e-09,0.04
-4.34176e-02,2.68221e-09,-0.04
-4.34144e-02,2.68221e-09,0.04
-4.34112e-02,2.68221e-09,-0.04
-4.34080e-02,2.68221e-09,0.04
-4.34048e-02,2.68221e-09,-0.04
-4.34016e-02,0.04,0.04
-4.33984e-02,2.68221e-09,-0.04
-4.33952e-02,2.68221e-09,0.04
-4.33920e-02,2.68221e-09,-0.04
-4.33888e-02,2.68221e-09,0.04
-4.33856e-02,2.68221e-09,-0.04
-4.33824e-02,2.68221e-09,0.04
-4.33792e-02,2.68221e-09,-0.04
-4.33760e-02,2.68221e-09,0.04
-4.33728e-02,0.04,-0.04
-4.33696e-02,2.68221e-09,0.04
-4.33664e-02,2.68221e-09,-0.04
-4.33632e-02,0.04,0.04
-4.33600e-02,2.68221e-09,-0.04
-4.33568e-02,2.68221e-09,0.04
-4.33536e-02,2.68221e-09,-0.04
-4.33504e-02,2.68221e-09,0.04
-4.33472e-02,0.04,-0.04
-4.33440e-02,0.04,0.04
-4.33408e-02,2.68221e-09,-0.04
-4.33376e-02,2.68221e-09,0.04
-4.33344e-02,2.68221e-09,-0.04
-4.33312e-02,2.68221e-09,0.04
-4.33280e-02,2.68221e-09,-0.04
-4.33248e-02,2.68221e-09,0.04
-4.33216e-02,2.68221e-09,-0.04
-4.33184e-02,0.04,0.04
-4.33152e-02,2.68221e-09,-0.04
-4.33120e-02,2.68221e-09,0.04
-4.33088e-02,0.04,-0.04
-4.33056e-02,0.04,0.04
-4.33024e-02,2.68221e-09,-0.04
-4.32992e-02,2.68221e-09,0.04
-4.32960e-02,2.68221e-09,-0.04
-4.32928e-02,2.68221e-09,0.04
-4.32896e-02,0.04,-0.04
-4.32864e-02,2.68221e-09,0.04
-4.32832e-02,2.68221e-09,-0.04
-4.32800e-02,2.68221e-09,0.04
-4.32768e-02,2.68221e-09,-0.04
-4.32736e-02,2.68221e-09,0.04
-4.32704e-02,2.68221e-09,-0.04
-4.32672e-02,2.68221e-09,0.04
-4.32640e-02,2.68221e-09,-0.04
-4.32608e-02,2.68221e-09,0.08
-4.32576e-02,2.68221e-09,-0.04
-4.32544e-02,2.68221e-09,0.04
-4.32512e-02,2.68221e-09,-0.04
-4.32480e-02,2.68221e-09,0.04
-4.32448e-02,2.68221e-09,-0.04
-4.32416e-02,0.04,0.04
-4.32384e-02,2.68221e-09,-0.04
-4.32352e-02,2.68221e-09,0.04
-4.32320e-02,2.68221e-09,-0.04
-4.32288e-02,2.68221e-09,0.04
-4.32256e-02,2.68221e-09,-0.04
-4.32224e-02,2.68221e-09,0.04
-4.32192e-02,2.68221e-09,-0.04
-4.32160e-02,0.04,0.04
-4.32128e-02,2.68221e-09,-0.04
-4.32096e-02,0.04,0.04
-4.32064e-02,2.68221e-09,-0.04
-4.32032e-02,2.68221e-09,0.04
-4.32000e-02,2.68221e-09,-0.04
-4.31968e-02,0.04,0.04
-4.31936e-02,2.68221e-09,-0.04
-4.31904e-02,2.68221e-09,0.04
-4.31872e-02,2.68221e-09,-0.04
-4.31840e-02,2.68221e-09,0.04
-4.31808e-02,2.68221e-09,-0.04
-4.31776e-02,2.68221e-09,0.04
-4.31744e-02,2.68221e-09,-0.04
-4.31712e-02,2.68221e-09,0.04
-4.31680e-02,0.04,-0.04
-4.31648e-02,2.68221e-09,0.04
-4.31616e-02,2.68221e-09,-0.04
-4.31584e-02,2.68221e-09,0.04
-4.31552e-02,2.68221e-09,-0.04
-4.31520e-02,2.68221e-09,0.04
-4.31488e-02,0.04,-0.04
-4.31456e-02,2.68221e-09,0.04
-4.31424e-02,2.68221e-09,-0.04
-4.31392e-02,2.68221e-09,0.04
-4.31360e-02,2.68221e-09,-0.04
-4.31328e-02,2.68221e-09,0.04
-4.31296e-02,2.68221e-09,-0.04
-4.31264e-02,2.68221e-09,0.04
-4.31232e-02,0.04,-0.04
-4.31200e-02,2.68221e-09,0.04
-4.31168e-02,2.68221e-09,-0.04
-4.31136e-02,2.68221e-09,0.08
-4.31104e-02,2.68221e-09,-0.04
-4.31072e-02,2.68221e-09,0.04
-4.31040e-02,2.68221e-09,-0.04
-4.31008e-02,2.68221e-09,0.04
-4.30976e-02,2.68221e-09,-0.04
-4.30944e-02,2.68221e-09,0.04
-4.30912e-02,2.68221e-09,-0.04
-4.30880e-02,0.04,0.04
-4.30848e-02,2.68221e-09,-0.04
-4.30816e-02,2.68221e-09,0.04
-4.30784e-02,2.68221e-09,-0.04
-4.30752e-02,2.68221e-09,0.04
-4.30720e-02,2.68221e-09,-0.04
-4.30688e-02,2.68221e-09,0.04
-4.30656e-02,2.68221e-09,-0.04
-4.30624e-02,2.68221e-09,0.04
-4.30592e-02,0.04,-0.04
-4.30560e-02,2.68221e-09,0.04
-4.30528e-02,2.68221e-09,-0.04
-4.30496e-02,2.68221e-09,0.04
-4.30464e-02,2.68221e-09,-0.04
-4.30432e-02,2.68221e-09,0.04
-4.30400e-02,2.68221e-09,-0.04
-4.30368e-02,2.68221e-09,0.04
-4.30336e-02,2.68221e-09,-0.04
-4.30304e-02,2.68221e-09,0.08
-4.30272e-02,2.68221e-09,-0.04
-4.30240e-02,2.68221e-09,0.04
-4.30208e-02,2.68221e-09,-0.04
-4.30176e-02,2.68221e-09,0.04
-4.30144e-02,2.68221e-09,-0.04
-4.30112e-02,2.68221e-09,0.04
-4.30080e-02,2.68221e-09,-0.04
-4.30048e-02,0.04,0.04
-4.30016e-02,0.04,-0.04
-4.29984e-02,2.68221e-09,0.04
-4.29952e-02,2.68221e-09,-0.04
-4.29920e-02,2.68221e-09,0.04
-4.29888e-02,2.68221e-09,-0.04
-4.29856e-02,2.68221e-09,0.04
-4.29824e-02,2.68221e-09,-0.04
-4.29792e-02,2.68221e-09,0.04
-4.29760e-02,2.68221e-09,-0.04
-4.29728e-02,2.68221e-09,0.04
-4.29696e-02,0.04,-0.04
-4.29664e-02,2.68221e-09,0.04
-4.29632e-02,2.68221e-09,-0.04
-4.29600e-02,2.68221e-09,0.04
-4.29568e-02,2.68221e-09,-0.04
-4.29536e-02,2.68221e-09,0.04
-4.29504e-02,2.68221e-09,-0.04
-4.29472e-02,2.68221e-09,0.04
-4.29440e-02,2.68221e-09,-0.04
-4.29408e-02,2.68221e-09,0.04
-4.29376e-02,2.68221e-09,-0.04
-4.29344e-02,2.68221e-09,0.04
-4.29312e-02,2.68221e-09,-0.04
-4.29280e-02,2.68221e-09,0.04
-4.29248e-02,2.68221e-09,-0.04
-4.29216e-02,2.68221e-09,0.04
-4.29184e-02,2.68221e-09,-0.04
-4.29152e-02,2.68221e-09,0.04
-4.29120e-02,2.68221e-09,-0.04
-4.29088e-02,2.68221e-09,0.04
-4.29056e-02,2.68221e-09,-0.04
-4.29024e-02,2.68221e-09,0.04
-4.28992e-02,2.68221e-09,-0.04
-4.28960e-02,0.04,0.04
-4.28928e-02,2.68221e-09,-0.04
-4.28896e-02,2.68221e-09,0.04
-4.28864e-02,2.68221e-09,-0.04
-4.28832e-02,2.68221e-09,0.04
-4.28800e-02,0.04,-0.04
-4.28768e-02,2.68221e-09,0.04
-4.28736e-02,2.68221e-09,-0.04
-4.28704e-02,2.68221e-09,0.04
-4.28672e-02,2.68221e-09,-0.04
-4.28640e-02,0.04,0.04
-4.28608e-02,2.68221e-09,-0.04
-4.28576e-02,2.68221e-09,0.04
-4.28544e-02,2.68221e-09,-0.04
-4.28512e-02,2.68221e-09,0.04
-4.28480e-02,2.68221e-09,-0.04
-4.28448e-02,0.04,0.04
-4.28416e-02,0.04,-0.04
-4.28384e-02,2.68221e-09,0.04
-4.28352e-02,0.04,-0.04
-4.28320e-02,2.68221e-09,0.04
-4.28288e-02,2.68221e-09,-0.04
-4.28256e-02,2.68221e-09,0.04
-4.28224e-02,2.68221e-09,-0.04
-4.28192e-02,2.68221e-09,0.04
-4.28160e-02,2.68221e-09,-0.04
-4.28128e-02,2.68221e-09,0.04
-4.28096e-02,2.68221e-09,-0.04
-4.28064e-02,2.68221e-09,0.04
-4.28032e-02,2.68221e-09,-0.04
-4.28000e-02,2.68221e-09,0.04
-4.27968e-02,2.68221e-09,-0.04
-4.27936e-02,2.68221e-09,0.04
-4.27904e-02,2.68221e-09,-0.04
-4.27872e-02,2.68221e-09,0.04
-4.27840e-02,2.68221e-09,-0.04
-4.27808e-02,2.68221e-09,0.04
-4.27776e-02,2.68221e-09,-0.04
-4.27744e-02,2.68221e-09,0.04
-4.27712e-02,2.68221e-09,-0.04
-4.27680e-02,2.68221e-09,0.04
-4.27648e-02,2.68221e-09,-0.04
-4.27616e-02,2.68221e-09,0.04
-4.27584e-02,2.68221e-09,-0.04
-4.27552e-02,2.68221e-09,0.04
-4.27520e-02,2.68221e-09,-0.04
-4.27488e-02,2.68221e-09,0.04
-4.27456e-02,2.68221e-09,-0.04
-4.27424e-02,2.68221e-09,0.04
-4.27392e-02,0.04,-0.04
-4.27360e-02,2.68221e-09,0.04
-4.27328e-02,2.68221e-09,-0.04
-4.27296e-02,2.68221e-09,0.04
-4.27264e-02,2.68221e-09,-0.04
-4.27232e-02,2.68221e-09,0.04
-4.27200e-02,2.68221e-09,-0.08
-4.27168e-02,2.68221e-09,0.04
-4.27136e-02,2.68221e-09,-0.04
-4.27104e-02,2.68221e-09,0.04
-4.27072e-02,2.68221e-09,-0.04
-4.27040e-02,2.68221e-09,0.04
-4.27008e-02,2.68221e-09,-0.04
-4.26976e-02,2.68221e-09,0.04
-4.26944e-02,2.68221e-09,-0.04
-4.26912e-02,2.68221e-09,0.04
-4.26880e-02,2.68221e-09,-0.04
-4.26848e-02,2.68221e-09,0.04
-4.26816e-02,2.68221e-09,-0.04
-4.26784e-02,2.68221e-09,0.04
-4.26752e-02,2.68221e-09,-0.04
-4.26720e-02,2.68221e-09,0.04
-4.26688e-02,2.68221e-09,-0.04
-4.26656e-02,2.68221e-09,0.04
-4.26624e-02,2.68221e-09,-0.04
-4.26592e-02,2.68221e-09,0.04
-4.26560e-02,2.68221e-09,-0.04
-4.26528e-02,2.68221e-09,0.04
-4.26496e-02,2.68221e-09,-0.04
-4.26464e-02,2.68221e-09,0.04
-4.26432e-02,2.68221e-09,-0.04
-4.26400e-02,2.68221e-09,0.04
-4.26368e-02,2.68221e-09,-0.04
-4.26336e-02,2.68221e-09,0.04
-4.26304e-02,2.68221e-09,-0.04
-4.26272e-02,2.68221e-09,0.04
-4.26240e-02,2.68221e-09,-0.04
-4.26208e-02,2.68221e-09,0.04
-4.26176e-02,2.68221e-09,-0.04
-4.26144e-02,0.04,0.04
-4.26112e-02,2.68221e-09,-0.04
-4.26080e-02,2.68221e-09,0.04
-4.26048e-02,2.68221e-09,-0.04
-4.26016e-02,0.04,0.04
-4.25984e-02,2.68221e-09,-0.04
-4.25952e-02,2.68221e-09,0.04
-4.25920e-02,2.68221e-09,-0.04
-4.25888e-02,2.68221e-09,0.04
-4.25856e-02,2.68221e-09,-0.04
-4.25824e-02,2.68221e-09,0.04
-4.25792e-02,2.68221e-09,-0.04
-4.25760e-02,2.68221e-09,0.04
-4.25728e-02,0.04,-0.08
-4.25696e-02,2.68221e-09,0.04
-4.25664e-02,2.68221e-09,-0.04
-4.25632e-02,2.68221e-09,0.04
-4.25600e-02,0.04,-0.04
-4.25568e-02,2.68221e-09,0.04
-4.25536e-02,2.68221e-09,-0.04
-4.25504e-02,2.68221e-09,0.04
-4.25472e-02,2.68221e-09,-0.04
-4.25440e-02,2.68221e-09,0.04
-4.25408e-02,2.68221e-09,-0.04
-4.25376e-02,2.68221e-09,0.04
-4.25344e-02,2.68221e-09,-0.04
-4.25312e-02,2.68221e-09,0.04
-4.25280e-02,2.68221e-09,-0.04
-4.25248e-02,2.68221e-09,0.04
-4.25216e-02,2.68221e-09,-0.04
-4.25184e-02,2.68221e-09,0.04
-4.25152e-02,2.68221e-09,-0.04
-4.25120e-02,2.68221e-09,0.04
-4.25088e-02,2.68221e-09,-0.04
-4.25056e-02,2.68221e-09,0.04
-4.25024e-02,2.68221e-09,-0.04
-4.24992e-02,0.04,0.04
-4.24960e-02,2.68221e-09,-0.04
-4.24928e-02,2.68221e-09,0.04
-4.24896e-02,2.68221e-09,-0.04
-4.24864e-02,2.68221e-09,0.04
-4.24832e-02,2.68221e-09,-0.04
-4.24800e-02,2.68221e-09,0.04
-4.24768e-02,2.68221e-09,-0.04
-4.24736e-02,2.68221e-09,0.04
-4.24704e-02,2.68221e-09,-0.04
-4.24672e-02,2.68221e-09,0.04
-4.24640e-02,2.68221e-09,-0.04
-4.24608e-02,2.68221e-09,0.04
-4.24576e-02,2.68221e-09,-0.04
-4.24544e-02,2.68221e-09,0.04
-4.24512e-02,2.68221e-09,-0.04
-4.24480e-02,2.68221e-09,0.04
-4.24448e-02,2.68221e-09,-0.04
-4.24416e-02,2.68221e-09,0.04
-4.24384e-02,0.04,-0.04
-4.24352e-02,2.68221e-09,0.04
-4.24320e-02,2.68221e-09,-0.04
-4.24288e-02,2.68221e-09,0.04
-4.24256e-02,2.68221e-09,-0.04
-4.24224e-02,2.68221e-09,0.04
-4.24192e-02,2.68221e-09,-0.04
-4.24160e-02,2.68221e-09,0.04
-4.24128e-02,2.68221e-09,-0.04
-4.24096e-02,2.68221e-09,0.04
-4.24064e-02,2.68221e-09,-0.04
-4.24032e-02,2.68221e-09,0.04
-4.24000e-02,2.68221e-09,-0.04
-4.23968e-02,2.68221e-09,0.04
-4.23936e-02,2.68221e-09,-0.04
-4.23904e-02,2.68221e-09,0.04
-4.23872e-02,2.68221e-09,-0.04
-4.23840e-02,2.68221e-09,0.04
-4.23808e-02,2.68221e-09,-0.04
-4.23776e-02,2.68221e-09,0.04
-4.23744e-02,2.68221e-09,-0.04
-4.23712e-02,2.68221e-09,0.04
-4.23680e-02,2.68221e-09,-0.04
-4.23648e-02,2.68221e-09,0.04
-4.23616e-02,2.68221e-09,-0.04
-4.23584e-02,2.68221e-09,0.04
-4.23552e-02,2.68221e-09,-0.04
-4.23520e-02,2.68221e-09,0.04
-4.23488e-02,2.68221e-09,-0.04
-4.23456e-02,2.68221e-09,0.04
