Model,DPO2014B
Firmware Version,1.52

Point Format,Y,
-3.99280e-02,-0.0096,-0.0104
-3.99264e-02,-0.0088,-0.0072
-3.99248e-02,-0.0096,-0.0112
-3.99232e-02,-0.008,-0.0072
-3.99216e-02,-0.0088,-0.0104
-3.99200e-02,-0.0096,-0.008
-3.99184e-02,-0.0096,-0.0104
-3.99168e-02,-0.0096,-0.0072
-3.99152e-02,-0.0096,-0.0104
-3.99136e-02,-0.0088,-0.0072
-3.99120e-02,-0.0088,-0.0104
-3.99104e-02,-0.008,-0.0072
-3.99088e-02,-0.0088,-0.0104
-3.99072e-02,-0.0088,-0.0072
-3.99056e-02,-0.0088,-0.0104
-3.99040e-02,-0.0088,-0.0072
-3.99024e-02,-0.0088,-0.0104
-3.99008e-02,-0.008,-0.0072
-3.98992e-02,-0.0096,-0.0104
-3.98976e-02,-0.0096,-0.0072
-3.98960e-02,-0.0088,-0.0104
-3.98944e-02,-0.0096,-0.0072
-3.98928e-02,-0.008,-0.0104
-3.98912e-02,-0.0088,-0.0072
-3.98896e-02,-0.0088,-0.0104
-3.98880e-02,-0.008,-0.0072
-3.98864e-02,-0.0088,-0.0104
-3.98848e-02,-0.008,-0.0072
-3.98832e-02,-0.0088,-0.0104
-3.98816e-02,-0.0088,-0.0072
-3.98800e-02,-0.0088,-0.0104
-3.98784e-02,-0.0088,-0.0072
-3.98768e-02,-0.0096,-0.0112
-3.98752e-02,-0.0088,-0.0072
-3.98736e-02,-0.0088,-0.0104
-3.98720e-02,-0.0088,-0.0072
-3.98704e-02,-0.008,-0.0104
-3.98688e-02,-0.0088,-0.0072
-3.98672e-02,-0.0088,-0.0104
-3.98656e-02,-0.008,-0.0072
-3.98640e-02,-0.0088,-0.0104
-3.98624e-02,-0.008,-0.0072
-3.98608e-02,-0.0088,-0.0104
-3.98592e-02,-0.0088,-0.0072
-3.98576e-02,-0.0088,-0.0104
-3.98560e-02,-0.008,-0.0072
-3.98544e-02,-0.0088,-0.0104
-3.98528e-02,-0.0088,-0.0072
-3.98512e-02,-0.0088,-0.0104
-3.98496e-02,-0.0088,-0.0072
-3.98480e-02,-0.0096,-0.0104
-3.98464e-02,-0.0088,-0.0072
-3.98448e-02,-0.0088,-0.0104
-3.98432e-02,-0.008,-0.0072
-3.98416e-02,-0.008,-0.0104
-3.98400e-02,-0.0088,-0.0072
-3.98384e-02,-0.0088,-0.0104
-3.98368e-02,-0.0088,-0.0072
-3.98352e-02,-0.0088,-0.0104
-3.98336e-02,-0.0088,-0.0072
-3.98320e-02,-0.0088,-0.0104
-3.98304e-02,-0.008,-0.0072
-3.98288e-02,-0.0088,-0.0104
-3.98272e-02,-0.0088,-0.0072
-3.98256e-02,-0.0096,-0.0112
-3.98240e-02,-0.0088,-0.0072
-3.98224e-02,-0.0096,-0.0104
-3.98208e-02,-0.0088,-0.0072
-3.98192e-02,-0.0088,-0.0104
-3.98176e-02,-0.008,-0.0072
-3.98160e-02,-0.0088,-0.0104
-3.98144e-02,-0.008,-0.0072
-3.98128e-02,-0.0088,-0.0104
-3.98112e-02,-0.0096,-0.0072
-3.98096e-02,-0.0088,-0.0112
-3.98080e-02,-0.0096,-0.0072
-3.98064e-02,-0.008,-0.0104
-3.98048e-02,-0.0096,-0.0072
-3.98032e-02,-0.0088,-0.0104
-3.98016e-02,-0.0088,-0.0072
-3.98000e-02,-0.0088,-0.0104
-3.97984e-02,-0.008,-0.0072
-3.97968e-02,-0.0088,-0.0104
-3.97952e-02,-0.008,-0.0072
-3.97936e-02,-0.0088,-0.0104
-3.97920e-02,-0.0088,-0.0072
-3.97904e-02,-0.0088,-0.0104
-3.97888e-02,-0.0096,-0.0072
-3.97872e-02,-0.0088,-0.0104
-3.97856e-02,-0.0096,-0.0072
-3.97840e-02,-0.0096,-0.0104
-3.97824e-02,-0.0088,-0.0072
-3.97808e-02,-0.008,-0.0104
-3.97792e-02,-0.0096,-0.0072
-3.97776e-02,-0.0096,-0.0104
-3.97760e-02,-0.0088,-0.0072
-3.97744e-02,-0.0088,-0.0104
-3.97728e-02,-0.0088,-0.0072
-3.97712e-02,-0.008,-0.0104
-3.97696e-02,-0.0088,-0.0072
-3.97680e-02,-0.0096,-0.0104
-3.97664e-02,-0.0088,-0.0072
-3.97648e-02,-0.0096,-0.0104
-3.97632e-02,-0.0088,-0.0072
-3.97616e-02,-0.0088,-0.0104
-3.97600e-02,-0.0088,-0.0072
-3.97584e-02,-0.0088,-0.0104
-3.97568e-02,-0.008,-0.0072
-3.97552e-02,-0.0088,-0.0104
-3.97536e-02,-0.0096,-0.0072
-3.97520e-02,-0.008,-0.0104
-3.97504e-02,-0.0088,-0.0072
-3.97488e-02,-0.0088,-0.0104
-3.97472e-02,-0.008,-0.0072
-3.97456e-02,-0.0088,-0.0104
-3.97440e-02,-0.0088,-0.0072
-3.97424e-02,-0.0088,-0.0104
-3.97408e-02,-0.0088,-0.0072
-3.97392e-02,-0.0088,-0.0104
-3.97376e-02,-0.008,-0.0072
-3.97360e-02,-0.0088,-0.0104
-3.97344e-02,-0.0088,-0.0072
-3.97328e-02,-0.0088,-0.0104
-3.97312e-02,-0.0088,-0.0072
-3.97296e-02,-0.0088,-0.0104
-3.97280e-02,-0.0088,-0.0072
-3.97264e-02,-0.0088,-0.0104
-3.97248e-02,-0.0088,-0.0072
-3.97232e-02,-0.008,-0.0104
-3.97216e-02,-0.0088,-0.0072
-3.97200e-02,-0.0088,-0.0104
-3.97184e-02,-0.0088,-0.0072
-3.97168e-02,-0.0088,-0.0104
-3.97152e-02,-0.0088,-0.0072
-3.97136e-02,-0.0088,-0.0104
-3.97120e-02,-0.0088,-0.0072
-3.97104e-02,-0.0088,-0.0104
-3.97088e-02,-0.0088,-0.0072
-3.97072e-02,-0.0088,-0.0104
-3.97056e-02,-0.008,-0.0072
-3.97040e-02,-0.008,-0.0104
-3.97024e-02,-0.0096,-0.0072
-3.97008e-02,-0.0072,-0.0104
-3.96992e-02,-0.0088,-0.0072
-3.96976e-02,-0.0088,-0.0104
-3.96960e-02,-0.0088,-0.0072
-3.96944e-02,-0.0096,-0.0104
-3.96928e-02,-0.0088,-0.0072
-3.96912e-02,-0.0096,-0.0104
-3.96896e-02,-0.0088,-0.0072
-3.96880e-02,-0.0088,-0.0104
-3.96864e-02,-0.008,-0.0072
-3.96848e-02,-0.0088,-0.0104
-3.96832e-02,-0.0088,-0.0072
-3.96816e-02,-0.0088,-0.0104
-3.96800e-02,-0.0088,-0.0072
-3.96784e-02,-0.0088,-0.0104
-3.96768e-02,-0.008,-0.0072
-3.96752e-02,-0.0088,-0.0104
-3.96736e-02,-0.008,-0.0072
-3.96720e-02,-0.0088,-0.0104
-3.96704e-02,-0.0088,-0.0072
-3.96688e-02,-0.0088,-0.0104
-3.96672e-02,-0.008,-0.0072
-3.96656e-02,-0.0088,-0.0104
-3.96640e-02,-0.0088,-0.0072
-3.96624e-02,-0.0088,-0.0104
-3.96608e-02,-0.0088,-0.0072
-3.96592e-02,-0.0096,-0.0104
-3.96576e-02,-0.0088,-0.0072
-3.96560e-02,-0.008,-0.0104
-3.96544e-02,-0.0096,-0.008
-3.96528e-02,-0.0088,-0.0104
-3.96512e-02,-0.0088,-0.0072
-3.96496e-02,-0.0088,-0.0104
-3.96480e-02,-0.0088,-0.0072
-3.96464e-02,-0.0088,-0.0104
-3.96448e-02,-0.0096,-0.0072
-3.96432e-02,-0.0088,-0.0104
-3.96416e-02,-0.0088,-0.0072
-3.96400e-02,-0.0088,-0.0104
-3.96384e-02,-0.0088,-0.0072
-3.96368e-02,-0.0088,-0.0104
-3.96352e-02,-0.0088,-0.0072
-3.96336e-02,-0.008,-0.0104
-3.96320e-02,-0.008,-0.0072
-3.96304e-02,-0.0088,-0.0104
-3.96288e-02,-0.0088,-0.0072
-3.96272e-02,-0.0104,-0.0104
-3.96256e-02,-0.0088,-0.0072
-3.96240e-02,-0.0088,-0.0104
-3.96224e-02,-0.0088,-0.008
-3.96208e-02,-0.0088,-0.0104
-3.96192e-02,-0.0088,-0.0072
-3.96176e-02,-0.0088,-0.0104
-3.96160e-02,-0.008,-0.0072
-3.96144e-02,-0.0088,-0.0104
-3.96128e-02,-0.008,-0.0072
-3.96112e-02,-0.0088,-0.0104
-3.96096e-02,-0.0088,-0.0072
-3.96080e-02,-0.0088,-0.0112
-3.96064e-02,-0.0096,-0.0072
-3.96048e-02,-0.008,-0.0104
-3.96032e-02,-0.0088,-0.0072
-3.96016e-02,-0.0088,-0.0104
-3.96000e-02,-0.008,-0.0072
-3.95984e-02,-0.0088,-0.0104
-3.95968e-02,-0.0104,-0.0072
-3.95952e-02,-0.0088,-0.0104
-3.95936e-02,-0.0088,-0.008
-3.95920e-02,-0.0096,-0.0104
-3.95904e-02,-0.0096,-0.0072
-3.95888e-02,-0.0088,-0.0104
-3.95872e-02,-0.0088,-0.0072
-3.95856e-02,-0.0088,-0.0112
-3.95840e-02,-0.0096,-0.0072
-3.95824e-02,-0.0096,-0.0104
-3.95808e-02,-0.0088,-0.008
-3.95792e-02,-0.0088,-0.0104
-3.95776e-02,-0.0088,-0.0072
-3.95760e-02,-0.008,-0.0104
-3.95744e-02,-0.008,-0.0072
-3.95728e-02,-0.0088,-0.0104
-3.95712e-02,-0.008,-0.0072
-3.95696e-02,-0.008,-0.0104
-3.95680e-02,-0.0088,-0.008
-3.95664e-02,-0.0088,-0.0104
-3.95648e-02,-0.008,-0.0072
-3.95632e-02,-0.008,-0.0104
-3.95616e-02,-0.0088,-0.0072
-3.95600e-02,-0.0096,-0.0104
-3.95584e-02,-0.0088,-0.0072
-3.95568e-02,-0.0088,-0.0104
-3.95552e-02,-0.0088,-0.008
-3.95536e-02,-0.0088,-0.0104
-3.95520e-02,-0.0096,-0.0072
-3.95504e-02,-0.0088,-0.0104
-3.95488e-02,-0.008,-0.008
-3.95472e-02,-0.0088,-0.0112
-3.95456e-02,-0.0096,-0.0072
-3.95440e-02,-0.0096,-0.0104
-3.95424e-02,-0.0096,-0.0072
-3.95408e-02,-0.0088,-0.0104
-3.95392e-02,-0.0088,-0.0072
-3.95376e-02,-0.0088,-0.0104
-3.95360e-02,-0.0088,-0.0072
-3.95344e-02,-0.0104,-0.0104
-3.95328e-02,-0.0088,-0.0072
-3.95312e-02,-0.0096,-0.0112
-3.95296e-02,-0.008,-0.0072
-3.95280e-02,-0.0096,-0.0104
-3.95264e-02,-0.0096,-0.0072
-3.95248e-02,-0.0088,-0.0104
-3.95232e-02,-0.0088,-0.0072
-3.95216e-02,-0.0088,-0.0104
-3.95200e-02,-0.0096,-0.0072
-3.95184e-02,-0.0088,-0.0104
-3.95168e-02,-0.008,-0.0072
-3.95152e-02,-0.0088,-0.0104
-3.95136e-02,-0.0088,-0.0072
-3.95120e-02,-0.0088,-0.0104
-3.95104e-02,-0.008,-0.0072
-3.95088e-02,-0.008,-0.0104
-3.95072e-02,-0.0088,-0.0072
-3.95056e-02,-0.0096,-0.0104
-3.95040e-02,-0.0096,-0.0072
-3.95024e-02,-0.0096,-0.0104
-3.95008e-02,-0.0088,-0.008
-3.94992e-02,-0.0088,-0.0104
-3.94976e-02,-0.0088,-0.0072
-3.94960e-02,-0.0104,-0.0104
-3.94944e-02,-0.0088,-0.0072
-3.94928e-02,-0.0096,-0.0104
-3.94912e-02,-0.0096,-0.0072
-3.94896e-02,-0.0096,-0.0104
-3.94880e-02,-0.0088,-0.0072
-3.94864e-02,-0.0096,-0.0104
-3.94848e-02,-0.008,-0.0072
-3.94832e-02,-0.0088,-0.0104
-3.94816e-02,-0.0096,-0.0072
-3.94800e-02,-0.0088,-0.0104
-3.94784e-02,-0.0088,-0.0072
-3.94768e-02,-0.0088,-0.0104
-3.94752e-02,-0.0088,-0.0072
-3.94736e-02,-0.0088,-0.0104
-3.94720e-02,-0.008,-0.0072
-3.94704e-02,-0.008,-0.0104
-3.94688e-02,-0.0088,-0.0072
-3.94672e-02,-0.0088,-0.0104
-3.94656e-02,-0.0088,-0.0072
-3.94640e-02,-0.0088,-0.0104
-3.94624e-02,-0.0088,-0.0072
-3.94608e-02,-0.008,-0.0104
-3.94592e-02,-0.0096,-0.0072
-3.94576e-02,-0.0088,-0.0104
-3.94560e-02,-0.0096,-0.0072
-3.94544e-02,-0.0088,-0.0104
-3.94528e-02,-0.0088,-0.008
-3.94512e-02,-0.008,-0.0104
-3.94496e-02,-0.0088,-0.0072
-3.94480e-02,-0.008,-0.0104
-3.94464e-02,-0.0088,-0.008
-3.94448e-02,-0.0088,-0.0104
-3.94432e-02,-0.0088,-0.0072
-3.94416e-02,-0.0088,-0.0104
-3.94400e-02,-0.0096,-0.008
-3.94384e-02,-0.0088,-0.0104
-3.94368e-02,-0.0088,-0.0072
-3.94352e-02,-0.0096,-0.0104
-3.94336e-02,-0.0088,-0.0072
-3.94320e-02,-0.008,-0.0104
-3.94304e-02,-0.0088,-0.0072
-3.94288e-02,-0.0088,-0.0104
-3.94272e-02,-0.0088,-0.0072
-3.94256e-02,-0.0088,-0.0104
-3.94240e-02,-0.0088,-0.0072
-3.94224e-02,-0.008,-0.0104
-3.94208e-02,-0.008,-0.0072
-3.94192e-02,-0.0096,-0.0104
-3.94176e-02,-0.0088,-0.0072
-3.94160e-02,-0.0088,-0.0104
-3.94144e-02,-0.0096,-0.0072
-3.94128e-02,-0.0088,-0.0104
-3.94112e-02,-0.0088,-0.0072
-3.94096e-02,-0.0088,-0.0104
-3.94080e-02,-0.0088,-0.0072
-3.94064e-02,-0.0088,-0.0104
-3.94048e-02,-0.0088,-0.0072
-3.94032e-02,-0.0088,-0.0104
-3.94016e-02,-0.0088,-0.0064
-3.94000e-02,-0.0088,-0.0104
-3.93984e-02,-0.0088,-0.0072
-3.93968e-02,-0.0088,-0.0112
-3.93952e-02,-0.0096,-0.0072
-3.93936e-02,-0.0088,-0.0104
-3.93920e-02,-0.0088,-0.008
-3.93904e-02,-0.0088,-0.0104
-3.93888e-02,-0.0096,-0.0072
-3.93872e-02,-0.0088,-0.0104
-3.93856e-02,-0.0088,-0.0072
-3.93840e-02,-0.0088,-0.0104
-3.93824e-02,-0.008,-0.0072
-3.93808e-02,-0.0088,-0.0104
-3.93792e-02,-0.0096,-0.0072
-3.93776e-02,-0.0088,-0.0104
-3.93760e-02,-0.0088,-0.0072
-3.93744e-02,-0.0088,-0.0104
-3.93728e-02,-0.0088,-0.0072
-3.93712e-02,-0.0088,-0.0104
-3.93696e-02,-0.0096,-0.0072
-3.93680e-02,-0.008,-0.0112
-3.93664e-02,-0.0096,-0.0072
-3.93648e-02,-0.0096,-0.0112
-3.93632e-02,-0.0088,-0.008
-3.93616e-02,-0.0088,-0.0104
-3.93600e-02,-0.0088,-0.0072
-3.93584e-02,-0.0088,-0.0104
-3.93568e-02,-0.0088,-0.0072
-3.93552e-02,-0.008,-0.0104
-3.93536e-02,-0.0096,-0.0072
-3.93520e-02,-0.0088,-0.0104
-3.93504e-02,-0.0088,-0.0072
-3.93488e-02,-0.0088,-0.0104
-3.93472e-02,-0.0088,-0.0072
-3.93456e-02,-0.0096,-0.0104
-3.93440e-02,-0.008,-0.0072
-3.93424e-02,-0.0088,-0.0104
-3.93408e-02,-0.0088,-0.0072
-3.93392e-02,-0.0088,-0.0104
-3.93376e-02,-0.0088,-0.0072
-3.93360e-02,-0.0088,-0.0104
-3.93344e-02,-0.0096,-0.0072
-3.93328e-02,-0.0088,-0.0104
-3.93312e-02,-0.0088,-0.0072
-3.93296e-02,-0.0088,-0.0104
-3.93280e-02,-0.0088,-0.0072
-3.93264e-02,-0.0088,-0.0104
-3.93248e-02,-0.0088,-0.0072
-3.93232e-02,-0.008,-0.0104
-3.93216e-02,-0.008,-0.0072
-3.93200e-02,-0.0088,-0.0104
-3.93184e-02,-0.0096,-0.0072
-3.93168e-02,-0.0088,-0.0104
-3.93152e-02,-0.0088,-0.008
-3.93136e-02,-0.0096,-0.0104
-3.93120e-02,-0.0088,-0.0072
-3.93104e-02,-0.0096,-0.0104
-3.93088e-02,-0.0096,-0.0072
-3.93072e-02,-0.008,-0.0104
-3.93056e-02,-0.0096,-0.008
-3.93040e-02,-0.0088,-0.0104
-3.93024e-02,-0.008,-0.0072
-3.93008e-02,-0.0088,-0.0104
-3.92992e-02,-0.0088,-0.0072
-3.92976e-02,-0.0088,-0.0104
-3.92960e-02,-0.0088,-0.0072
-3.92944e-02,-0.008,-0.0104
-3.92928e-02,-0.0088,-0.0072
-3.92912e-02,-0.0088,-0.0104
-3.92896e-02,-0.0088,-0.0072
-3.92880e-02,-0.0088,-0.0104
-3.92864e-02,-0.0096,-0.0072
-3.92848e-02,-0.008,-0.0104
-3.92832e-02,-0.0088,-0.0072
-3.92816e-02,-0.0088,-0.0104
-3.92800e-02,-0.0096,-0.0072
-3.92784e-02,-0.0088,-0.0104
-3.92768e-02,-0.0096,-0.0072
-3.92752e-02,-0.008,-0.0104
-3.92736e-02,-0.0088,-0.0072
-3.92720e-02,-0.0088,-0.0104
-3.92704e-02,-0.0088,-0.0072
-3.92688e-02,-0.0096,-0.0112
-3.92672e-02,-0.0096,-0.0072
-3.92656e-02,-0.0088,-0.0104
-3.92640e-02,-0.0088,-0.0072
-3.92624e-02,-0.0088,-0.0112
-3.92608e-02,-0.0096,-0.0072
-3.92592e-02,-0.0088,-0.0104
-3.92576e-02,-0.0088,-0.0072
-3.92560e-02,-0.0096,-0.0104
-3.92544e-02,-0.008,-0.008
-3.92528e-02,-0.0088,-0.0104
-3.92512e-02,-0.0096,-0.0072
-3.92496e-02,-0.0096,-0.0104
-3.92480e-02,-0.0088,-0.0072
-3.92464e-02,-0.0096,-0.0104
-3.92448e-02,-0.0088,-0.0072
-3.92432e-02,-0.0088,-0.0104
-3.92416e-02,-0.0088,-0.0072
-3.92400e-02,-0.0096,-0.0104
-3.92384e-02,-0.0096,-0.0072
-3.92368e-02,-0.0096,-0.0104
-3.92352e-02,-0.0088,-0.0072
-3.92336e-02,-0.0088,-0.0104
-3.92320e-02,-0.0088,-0.0072
-3.92304e-02,-0.0088,-0.0104
-3.92288e-02,-0.0096,-0.0072
-3.92272e-02,-0.0088,-0.0112
-3.92256e-02,-0.0096,-0.0072
-3.92240e-02,-0.0096,-0.0104
-3.92224e-02,-0.0096,-0.0072
-3.92208e-02,-0.0088,-0.0104
-3.92192e-02,-0.0088,-0.0072
-3.92176e-02,-0.0088,-0.0104
-3.92160e-02,-0.0088,-0.0072
-3.92144e-02,-0.0088,-0.0104
-3.92128e-02,-0.0088,-0.0072
-3.92112e-02,-0.0088,-0.0104
-3.92096e-02,-0.0088,-0.0072
-3.92080e-02,-0.0096,-0.0104
-3.92064e-02,-0.0088,-0.0064
-3.92048e-02,-0.0096,-0.0104
-3.92032e-02,-0.0096,-0.0072
-3.92016e-02,-0.0088,-0.0112
-3.92000e-02,-0.0096,-0.0072
-3.91984e-02,-0.008,-0.0104
-3.91968e-02,-0.0088,-0.0072
-3.91952e-02,-0.008,-0.0104
-3.91936e-02,-0.0088,-0.0072
-3.91920e-02,-0.0088,-0.0104
-3.91904e-02,-0.008,-0.0072
-3.91888e-02,-0.008,-0.0104
-3.91872e-02,-0.0088,-0.0072
-3.91856e-02,-0.0088,-0.0104
-3.91840e-02,-0.008,-0.0072
-3.91824e-02,-0.0088,-0.0104
-3.91808e-02,-0.0096,-0.0072
-3.91792e-02,-0.0096,-0.0104
-3.91776e-02,-0.0096,-0.0072
-3.91760e-02,-0.0088,-0.0104
-3.91744e-02,-0.0088,-0.008
-3.91728e-02,-0.0088,-0.0104
-3.91712e-02,-0.008,-0.0072
-3.91696e-02,-0.008,-0.0104
-3.91680e-02,-0.0088,-0.008
-3.91664e-02,-0.0088,-0.0104
-3.91648e-02,-0.008,-0.0072
-3.91632e-02,-0.008,-0.0104
-3.91616e-02,-0.0096,-0.0072
-3.91600e-02,-0.0096,-0.0104
-3.91584e-02,-0.008,-0.0072
-3.91568e-02,-0.0088,-0.0104
-3.91552e-02,-0.0096,-0.0072
-3.91536e-02,-0.0088,-0.0104
-3.91520e-02,-0.0088,-0.0072
-3.91504e-02,-0.0088,-0.0104
-3.91488e-02,-0.0088,-0.008
-3.91472e-02,-0.008,-0.0104
-3.91456e-02,-0.0088,-0.0072
-3.91440e-02,-0.0088,-0.0104
-3.91424e-02,-0.0088,-0.0072
-3.91408e-02,-0.0088,-0.0104
-3.91392e-02,-0.0096,-0.0072
-3.91376e-02,-0.0088,-0.0104
-3.91360e-02,-0.0088,-0.0072
-3.91344e-02,-0.0088,-0.0104
-3.91328e-02,-0.0088,-0.0072
-3.91312e-02,-0.0096,-0.0104
-3.91296e-02,-0.0088,-0.0072
-3.91280e-02,-0.0088,-0.0104
-3.91264e-02,-0.0096,-0.0072
-3.91248e-02,-0.008,-0.0104
-3.91232e-02,-0.0088,-0.0072
-3.91216e-02,-0.0088,-0.0104
-3.91200e-02,-0.0096,-0.0072
-3.91184e-02,-0.008,-0.0104
-3.91168e-02,-0.0088,-0.0072
-3.91152e-02,-0.008,-0.0112
-3.91136e-02,-0.008,-0.008
-3.91120e-02,-0.008,-0.0104
-3.91104e-02,-0.0088,-0.0072
-3.91088e-02,-0.0088,-0.0112
-3.91072e-02,-0.0096,-0.0072
-3.91056e-02,-0.0088,-0.0104
-3.91040e-02,-0.0088,-0.0072
-3.91024e-02,-0.0088,-0.0104
-3.91008e-02,-0.0088,-0.0072
-3.90992e-02,-0.0088,-0.0104
-3.90976e-02,-0.0088,-0.0072
-3.90960e-02,-0.0096,-0.0104
-3.90944e-02,-0.0088,-0.0072
-3.90928e-02,-0.0088,-0.0104
-3.90912e-02,-0.0088,-0.0072
-3.90896e-02,-0.008,-0.0104
-3.90880e-02,-0.0088,-0.0072
-3.90864e-02,-0.0096,-0.0104
-3.90848e-02,-0.0096,-0.0072
-3.90832e-02,-0.0088,-0.0104
-3.90816e-02,-0.0096,-0.0072
-3.90800e-02,-0.0096,-0.0104
-3.90784e-02,-0.0096,-0.0072
-3.90768e-02,-0.008,-0.0104
-3.90752e-02,-0.0088,-0.008
-3.90736e-02,-0.0088,-0.0104
-3.90720e-02,-0.0088,-0.0072
-3.90704e-02,-0.0088,-0.0104
-3.90688e-02,-0.0088,-0.0072
-3.90672e-02,-0.0096,-0.0104
-3.90656e-02,-0.0096,-0.008
-3.90640e-02,-0.0096,-0.0104
-3.90624e-02,-0.008,-0.0072
-3.90608e-02,-0.0088,-0.0104
-3.90592e-02,-0.0096,-0.0072
-3.90576e-02,-0.0096,-0.0104
-3.90560e-02,-0.0088,-0.0072
-3.90544e-02,-0.0088,-0.0104
-3.90528e-02,-0.0088,-0.0072
-3.90512e-02,-0.008,-0.0104
-3.90496e-02,-0.0088,-0.0072
-3.90480e-02,-0.0088,-0.0104
-3.90464e-02,-0.0096,-0.0072
-3.90448e-02,-0.0096,-0.0104
-3.90432e-02,-0.0088,-0.0072
-3.90416e-02,-0.0088,-0.0104
-3.90400e-02,-0.0088,-0.0072
-3.90384e-02,-0.0096,-0.0104
-3.90368e-02,-0.0096,-0.0072
-3.90352e-02,-0.008,-0.0104
-3.90336e-02,-0.0088,-0.0072
-3.90320e-02,-0.0088,-0.0104
-3.90304e-02,-0.0096,-0.0072
-3.90288e-02,-0.0088,-0.0104
-3.90272e-02,-0.0088,-0.008
-3.90256e-02,-0.0088,-0.0112
-3.90240e-02,-0.0096,-0.0072
-3.90224e-02,-0.0096,-0.0104
-3.90208e-02,-0.0096,-0.0072
-3.90192e-02,-0.0088,-0.0104
-3.90176e-02,-0.0096,-0.008
-3.90160e-02,-0.0088,-0.0112
-3.90144e-02,-0.0088,-0.0072
-3.90128e-02,-0.0088,-0.0104
-3.90112e-02,-0.0096,-0.0072
-3.90096e-02,-0.0088,-0.0104
-3.90080e-02,-0.008,-0.0072
-3.90064e-02,-0.0096,-0.0104
-3.90048e-02,-0.0096,-0.0072
-3.90032e-02,-0.0088,-0.0104
-3.90016e-02,-0.0088,-0.0072
-3.90000e-02,-0.0096,-0.0112
-3.89984e-02,-0.0088,-0.0072
-3.89968e-02,-0.0088,-0.0104
-3.89952e-02,-0.0096,-0.008
-3.89936e-02,-0.0096,-0.0104
-3.89920e-02,-0.0088,-0.0072
-3.89904e-02,-0.0088,-0.0104
-3.89888e-02,-0.0096,-0.0072
-3.89872e-02,-0.0088,-0.0104
-3.89856e-02,-0.008,-0.0072
-3.89840e-02,-0.0096,-0.0104
-3.89824e-02,-0.0096,-0.0072
-3.89808e-02,-0.0096,-0.0104
-3.89792e-02,-0.0096,-0.0072
-3.89776e-02,-0.008,-0.0104
-3.89760e-02,-0.0088,-0.0072
-3.89744e-02,-0.008,-0.0104
-3.89728e-02,-0.008,-0.0072
-3.89712e-02,-0.0088,-0.0104
-3.89696e-02,-0.0088,-0.0072
-3.89680e-02,-0.0096,-0.0104
-3.89664e-02,-0.0088,-0.0072
-3.89648e-02,-0.0088,-0.0104
-3.89632e-02,-0.0088,-0.0072
-3.89616e-02,-0.0096,-0.0104
-3.89600e-02,-0.0088,-0.0072
-3.89584e-02,-0.008,-0.0104
-3.89568e-02,-0.0096,-0.008
-3.89552e-02,-0.0088,-0.0104
-3.89536e-02,-0.0096,-0.0072
-3.89520e-02,-0.0088,-0.0104
-3.89504e-02,-0.008,-0.0072
-3.89488e-02,-0.008,-0.0104
-3.89472e-02,-0.0088,-0.0072
-3.89456e-02,-0.008,-0.0104
-3.89440e-02,-0.0088,-0.0064
-3.89424e-02,-0.008,-0.0104
-3.89408e-02,-0.0088,-0.0072
