Model,DPO2014B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,1e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.02,
Label,,
TIME,CH1,CH1 Peak Detect
-4.00000e-02,-0.0088,-0.0072
-3.99984e-02,-0.0096,-0.0104
-3.99968e-02,-0.0088,-0.0072
-3.99952e-02,-0.0096,-0.0104
-3.99936e-02,-0.0096,-0.0072
-3.99920e-02,-0.0088,-0.0104
-3.99904e-02,-0.0096,-0.0072
-3.99888e-02,-0.0096,-0.0104
-3.99872e-02,-0.0096,-0.0072
-3.99856e-02,-0.0088,-0.0112
-3.99840e-02,-0.008,-0.008
-3.99824e-02,-0.008,-0.0112
-3.99808e-02,-0.0088,-0.0072
-3.99792e-02,-0.0088,-0.0104
-3.99776e-02,-0.0096,-0.0072
-3.99760e-02,-0.0088,-0.0112
-3.99744e-02,-0.0088,-0.0072
-3.99728e-02,-0.0088,-0.0104
-3.99712e-02,-0.0088,-0.0072
-3.99696e-02,-0.008,-0.0104
-3.99680e-02,-0.008,-0.0072
-3.99664e-02,-0.008,-0.0104
-3.99648e-02,-0.008,-0.0072
-3.99632e-02,-0.0088,-0.0104
-3.99616e-02,-0.0088,-0.0072
-3.99600e-02,-0.0088,-0.0104
-3.99584e-02,-0.0096,-0.0072
-3.99568e-02,-0.008,-0.0104
-3.99552e-02,-0.0096,-0.0072
-3.99536e-02,-0.0088,-0.0104
-3.99520e-02,-0.008,-0.0072
-3.99504e-02,-0.0088,-0.0104
-3.99488e-02,-0.0096,-0.0072
-3.99472e-02,-0.0096,-0.0104
-3.99456e-02,-0.008,-0.0072
-3.99440e-02,-0.0096,-0.0104
-3.99424e-02,-0.008,-0.0072
-3.99408e-02,-0.0088,-0.0104
-3.99392e-02,-0.0088,-0.0072
-3.99376e-02,-0.008,-0.0104
-3.99360e-02,-0.0088,-0.0072
-3.99344e-02,-0.0088,-0.0104
-3.99328e-02,-0.0088,-0.0072
-3.99312e-02,-0.0088,-0.0104
-3.99296e-02,-0.0088,-0.0072
